Academic license - for non-commercial use only
#instante   states     time1      time2      f1         f2        
5 X 5              25     0.2334     0.0438     2.3017     2.3016
5 X 6              30     0.3053     0.0525     2.3011     2.3016
5 X 7              35     0.3678     0.0953     2.3016     2.3016
5 X 8              40     0.4447     0.2731     2.3016     2.3016
5 X 9              45     0.4969     0.3816     2.2863     2.3016
5 X 10             50     0.6095     0.5046     2.2949     2.3016
5 X 11             55     0.7872     0.6879     2.2999     2.3016
5 X 12             60     0.7899     0.8670     2.1810     2.3016
5 X 13             65     1.0655     0.8218     2.2961     2.3016
5 X 14             70     0.9465     1.0989     2.2888     2.3016
5 X 15             75     1.1509     1.3636     2.2281     2.3016
5 X 16             80     1.3632     1.4891     2.1354     2.3016
5 X 17             85     1.1428     1.8016     2.1489     2.3016
5 X 18             90     1.2992     2.0392     2.0342     2.3016
5 X 19             95     1.3173     2.5767     2.1787     2.3016
5 X 20            100     1.7896     3.5353     2.0920     2.3016
