Academic license - for non-commercial use only
#instante   states     time1      time2      f1         f2        
5 X 5              25     0.2359    60.2245     2.3017     2.3016   120.2268
5 X 6              30     0.3007    60.4497     2.3011     2.3016   120.4515
5 X 7              35     0.3595    61.6906     2.3016     2.3016   121.6940
5 X 8              40     0.4291    64.8744     2.3016     2.3016   124.8790
5 X 9              45     0.5043    68.4234     2.2863     2.3016   128.4276
5 X 10             50     0.5878    74.4268     2.2949     2.3016   134.4305
5 X 11             55     0.6783    83.6910     2.2999     2.3016   143.7014
5 X 12             60     0.7931    97.9037     2.1810     2.3016   157.9079
5 X 13             65     0.8469   117.3339     2.2961     2.3016   177.3496
5 X 14             70     0.9683   150.7340     2.2888     2.3016   210.7376
5 X 15             75     1.0306   194.1311     2.2281     2.3016   254.1503
5 X 16             80     1.0815   253.2874     2.1354     2.3016   313.2951
5 X 17             85     1.1337   330.1457     2.1489     2.3016   390.1711
5 X 18             90     1.2801   423.3212     2.0342     2.3016   483.3420
5 X 19             95     1.3237   520.3960     2.1787     2.3016   580.4251
5 X 20            100     1.4226   613.8962     2.0920     2.3016   673.9184
