Academic license - for non-commercial use only
#states     factor     time-vi    time-2lp  
        25      -0.99    0.08013    0.00430
        25      -0.98    0.07423    0.00309
        25      -0.97    0.07626    0.00404
        25      -0.96    0.07903    0.00303
        25      -0.95    0.07581    0.00360
        25      -0.94    0.07437    0.00505
        25      -0.93    0.09444    0.00391
        25      -0.92    0.08763    0.00497
        25      -0.91    0.08593    0.00441
        25      -0.90    0.08131    0.00305
        25      -0.89    0.08314    0.00308
        25      -0.88    0.08126    0.00331
        25      -0.87    0.08374    0.00375
        25      -0.86    0.08417    0.00317
        25      -0.85    0.08615    0.00315
        25      -0.84    0.08424    0.00306
        25      -0.83    0.08958    0.00320
        25      -0.82    0.08992    0.00313
        25      -0.81    0.08683    0.00307
        25      -0.80    0.09012    0.00311
        25      -0.79    0.11900    0.00311
        25      -0.78    0.09251    0.00307
        25      -0.77    0.09181    0.00308
        25      -0.76    0.09123    0.00309
        25      -0.75    0.09045    0.00313
        25      -0.74    0.08927    0.00307
        25      -0.73    0.09101    0.00311
        25      -0.72    0.09291    0.00309
        25      -0.71    0.09511    0.00308
        25      -0.70    0.10485    0.00309
        25      -0.69    0.09669    0.00310
        25      -0.68    0.10296    0.00310
        25      -0.67    0.10079    0.00325
        25      -0.66    0.09990    0.00307
        25      -0.65    0.10109    0.00313
        25      -0.64    0.10196    0.00308
        25      -0.63    0.10534    0.00316
        25      -0.62    0.10500    0.00308
        25      -0.61    0.11168    0.00307
        25      -0.60    0.10919    0.00307
        25      -0.59    0.11559    0.00398
        25      -0.58    0.11103    0.00305
        25      -0.57    0.11893    0.00335
        25      -0.56    0.11608    0.00306
        25      -0.55    0.11949    0.00312
        25      -0.54    0.12533    0.00308
        25      -0.53    0.12523    0.00306
        25      -0.52    0.12223    0.00306
        25      -0.51    0.12444    0.00321
        25      -0.50    0.12791    0.00308
        25      -0.49    0.12535    0.00309
        25      -0.48    0.13128    0.00308
        25      -0.47    0.13421    0.00308
        25      -0.46    0.14320    0.00310
        25      -0.45    0.13444    0.00310
        25      -0.44    0.14009    0.00312
        25      -0.43    0.14156    0.00313
        25      -0.42    0.14508    0.00311
        25      -0.41    0.14122    0.00326
        25      -0.40    0.13897    0.00314
        25      -0.39    0.02985    0.00305
        25      -0.38    0.03258    0.00299
        25      -0.37    0.06233    0.00379
        25      -0.36    0.03252    0.00297
        25      -0.35    0.03064    0.00306
        25      -0.34    0.03412    0.00302
        25      -0.33    0.03292    0.00309
        25      -0.32    0.06584    0.00309
        25      -0.31    0.08309    0.00309
        25      -0.30    0.08068    0.00312
        25      -0.29    0.08229    0.00311
        25      -0.28    0.07935    0.00312
        25      -0.27    0.07984    0.00321
        25      -0.26    0.08879    0.00405
        25      -0.25    0.08859    0.00311
        25      -0.24    0.09252    0.00324
        25      -0.23    0.08647    0.00312
        25      -0.22    0.09326    0.00352
        25      -0.21    0.09276    0.00345
        25      -0.20    0.08830    0.00311
        25      -0.19    0.09269    0.00344
        25      -0.18    0.09650    0.00315
        25      -0.17    0.09305    0.00316
        25      -0.16    0.10124    0.00313
        25      -0.15    0.09291    0.00346
        25      -0.14    0.09473    0.00611
        25      -0.13    0.09693    0.00310
        25      -0.12    0.09543    0.00340
        25      -0.11    0.09842    0.00309
        25      -0.10    0.09647    0.00312
        25      -0.09    0.09875    0.00311
        25      -0.08    0.10081    0.00313
        25      -0.07    0.10707    0.00403
        25      -0.06    0.10536    0.00315
        25      -0.05    0.10984    0.00312
        25      -0.04    0.10434    0.00314
        25      -0.03    0.10991    0.00312
        25      -0.02    0.10682    0.00317
        25      -0.01    0.11280    0.00394
        25       0.00    0.02888    0.00388
        25       0.01    0.10788    0.00308
        25       0.02    0.10946    0.00306
        25       0.03    0.11244    0.00304
        25       0.04    0.11538    0.00305
        25       0.05    0.11496    0.00302
        25       0.06    0.12909    0.00304
        25       0.07    0.11937    0.00363
        25       0.08    0.12375    0.00303
        25       0.09    0.12581    0.00305
        25       0.10    0.12407    0.00309
        25       0.11    0.13423    0.00305
        25       0.12    0.16124    0.00305
        25       0.13    0.13670    0.00305
        25       0.14    0.14223    0.00312
        25       0.15    0.14222    0.00305
        25       0.16    0.13804    0.00374
        25       0.17    0.15128    0.00305
        25       0.18   -1.00000    0.00308
        25       0.19   -1.00000    0.00303
        25       0.20   -1.00000    0.00306
        25       0.21    0.10055    0.00305
        25       0.22    0.09644    0.00311
        25       0.23    0.09333    0.00305
        25       0.24    0.10084    0.00305
        25       0.25    0.09776    0.00306
        25       0.26    0.09934    0.00304
        25       0.27    0.10100    0.00426
        25       0.28    0.10885    0.00306
        25       0.29    0.10223    0.00332
        25       0.30    0.10631    0.00306
        25       0.31    0.10597    0.00303
        25       0.32    0.10592    0.00303
        25       0.33    0.11218    0.00303
        25       0.34    0.11698    0.00310
        25       0.35    0.11351    0.00304
        25       0.36    0.11946    0.00303
        25       0.37    0.11713    0.00303
