#instante   states     variables  lambda     time      
Academic license - for non-commercial use only
10 X 10           100        539     1.0000     1.0874
20 X 20           400       2279     0.6559     9.2949
30 X 30           900       5219     0.4371    49.0614
40 X 40          1600       9359     0.2484   143.2336
50 X 50          2500      14699     0.1875   246.8870
60 X 60          3600      21239     0.1411   516.9310
70 X 70          4900      28979     0.1265   886.8139
80 X 80          6400      37919     0.0740  1485.4875
90 X 90          8100      48059     0.0899  3673.3799
#instante   states     variables  lambda     time      
5 X 10             50        259     1.0000     0.3990
5 X 20            100        539     0.9999     0.9984
5 X 30            150        819     1.0000     1.7335
5 X 40            200       1099     0.8931     2.5794
5 X 50            250       1379     0.7814     3.7152
5 X 60            300       1659     0.6068     6.4991
5 X 70            350       1939     0.7112     8.8564
5 X 80            400       2219     0.3711     8.0746
5 X 90            450       2499     0.4555    11.9766
5 X 100           500       2779     0.4598    11.8032
5 X 110           550       3059     0.3588    15.3449
5 X 120           600       3339     0.3947    15.9013
5 X 130           650       3619     0.2478    18.5975
5 X 140           700       3899     0.3617    20.9213
5 X 150           750       4179     0.2440    25.0123
5 X 160           800       4459     0.3185    28.1865
5 X 170           850       4739     0.3153    33.3279
5 X 180           900       5019     0.2590    38.6873
5 X 190           950       5299     0.2755    40.1189
5 X 200          1000       5579     0.2095    52.1570
5 X 210          1050       5859     0.2067    47.4928
5 X 220          1100       6139     0.1965    53.4116
5 X 230          1150       6419     0.1989    60.0999
5 X 240          1200       6699     0.1880    64.7802
5 X 250          1250       6979     0.1808    73.1797
5 X 260          1300       7259     0.1739    78.2451
5 X 270          1350       7539     0.1094    79.0948
5 X 280          1400       7819     0.1878    91.6436
5 X 290          1450       8099     0.1201    87.7962
5 X 300          1500       8379     0.1723   104.8225
5 X 310          1550       8659     0.1373   108.8755
5 X 320          1600       8939     0.1170   107.6571
5 X 330          1650       9219     0.1563   121.6319
5 X 340          1700       9499     0.1181   120.8111
5 X 350          1750       9779     0.1094   179.0016
5 X 360          1800      10059     0.1201   139.0494
5 X 370          1850      10339     0.1169   159.8293
5 X 380          1900      10619     0.1096   186.3048
5 X 390          1950      10899     0.1270   169.9613
5 X 400          2000      11179     0.1092   208.9760
5 X 410          2050      11459     0.1094   281.3991
5 X 420          2100      11739     0.1250   198.4673
5 X 430          2150      12019     0.1087   226.8483
5 X 440          2200      12299     0.1172   227.6660
5 X 450          2250      12579     0.1084   232.5170
5 X 460          2300      12859     0.1081   230.2924
5 X 470          2350      13139     0.1087   271.6981
5 X 480          2400      13419     0.1065   206.3388
5 X 490          2450      13699     0.1063   208.5085
5 X 500          2500      13979     0.1087   294.0389
5 X 510          2550      14259     0.1085   287.2622
5 X 520          2600      14539     0.1087   424.8662
5 X 530          2650      14819     0.1085   307.2776
5 X 540          2700      15099     0.1083   276.8695
5 X 550          2750      15379     0.1067   259.4048
5 X 560          2800      15659     0.1073   273.6336
5 X 570          2850      15939     0.1079   324.0711
5 X 580          2900      16219     0.1067   293.9653
5 X 590          2950      16499     0.1089   395.1107
5 X 600          3000      16779     0.1087   399.8801
5 X 610          3050      17059     0.1087   437.6650
5 X 620          3100      17339     0.1080   361.7017
5 X 630          3150      17619     0.1082   428.8739
5 X 640          3200      17899     0.1067   334.9910
5 X 650          3250      18179     0.1080   393.7939
5 X 660          3300      18459     0.1078   410.9173
5 X 670          3350      18739     0.1083   444.9063
5 X 680          3400      19019     0.1082   488.5028
5 X 690          3450      19299     0.1077   453.5047
5 X 700          3500      19579     0.1083   480.4360
