
TIREWORLD 
instante   states     time1      f1         time2      f2         f2         time3
Academic license - for non-commercial use only
2      15      0.109      8.233      0.014      0.682      0.070      0.692
4      45      0.357      5.468      0.062      0.692      0.232      0.692
6      91      0.849      5.206      0.320      0.692      0.975      0.692
8     153      1.595      3.805      0.324      0.692      1.979      0.692
10    231      2.919      2.892      0.764      0.692      3.948      0.692
12    325      5.086      2.787      1.080      0.692      7.472      0.692
14    435      8.215      2.504      1.599      0.692     12.935      0.692
16    561     13.171      2.329      2.394      0.692     21.368      0.692
18    703     19.607      2.192      3.353      0.692     33.307      0.692
20    861     26.514      2.070      4.835      0.692     49.727      0.692

NAVIGATION
#instante   states     time1      f1         time2      f2         time2      f2
Academic license - for non-commercial use only
6 X 5     30      0.286      0.112      0.052      0.111     34.353      0.111
8 X 5     40      0.411      0.112      0.124      0.111     30.847      0.111
10 X 5    50      0.555      0.112      0.167      0.111     94.479      0.111
12 X 5    60      0.712      0.112      0.264      0.111     61.050      0.111
14 X 5    70      0.910      0.112      0.299      0.111     61.425      0.111
16 X 5    80      1.103      0.112      0.428      0.111     61.647      0.111
18 X 5    90      1.263      0.112      0.388      0.111    121.878      0.111
20 X 5   100      1.459      0.112      0.448      0.111    302.359      0.111

RIVER
#instante   states     time1      f1         time2      f2         time2      f2
Academic license - for non-commercial use only
5 X 6     30      0.332      2.300      0.061      2.302    120.763      2.302
5 X 8     40      0.514      2.301      0.332      2.302    127.952      2.302
5 X 10    50      0.647      2.300      0.513      2.302    142.248      2.302
5 X 12    60      0.881      2.057      0.828      2.302    182.996      2.302
5 X 14    70      1.305      2.294      1.285      2.302    264.886      2.302
5 X 16    80      1.333      2.054      2.050      2.302    423.295      2.302
5 X 18    90      1.498      2.029      2.556      2.302    585.944      2.302
5 X 20   100      1.448      2.078      2.982      2.302    780.947      2.302
